SNR_dB,OAMP_BER,OAMPNet_BER
0,0.300048828125,0.2666015625
2,0.25830078125,0.2138671875
4,0.20068359375,0.17350260416666666
6,0.1650390625,0.13916015625
8,0.120703125,0.10625
10,0.08062744140625,0.06866455078125
12,0.05628551136363636,0.04771839488636364
14,0.03759765625,0.02912454044117647
16,0.023993130387931036,0.017157192887931036
18,0.015125868055555556,0.01103515625
20,0.010040713028169014,0.00692534110915493
22,0.006180612664473684,0.004291735197368421
24,0.004414998128742515,0.0029267636601796407
26,0.00262939453125,0.00166015625
28,0.00180419921875,0.0011767578125
30,0.001123046875,0.00072265625
