SNR_dB,OAMP_BER,OAMPNet_BER
0,0.2515869140625,0.2196044921875
2,0.2149658203125,0.1817626953125
4,0.15869140625,0.135009765625
6,0.10538541666666667,0.08902994791666667
8,0.062353515625,0.0533203125
10,0.0318603515625,0.0254638671875
12,0.015724609375,0.01111865234375
14,0.008779296875,0.0048046875
16,0.0045703125,0.0022802734375
18,0.0030224609375,0.0011572265625
20,0.001494140625,0.00048828125
22,0.00095703125,0.0002978515625
24,0.0005419921875,0.000185546875
26,0.000322265625,0.0001123046875
28,0.000224609375,5.37109375e-05
30,0.0001220703125,5.37109375e-05
